id,generic_name,brand_names,dosage_form,strength,notification_number,notification_date,ban_reason,source_pdf,date_added
6456,Paracetamol + Disodium Hydrogen Citrate + Caffeine S.o. 746 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.523311+05:30
6457,Paracetamol + DL Methionine S.o. 747 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.524749+05:30
6458,Disodium Hydrogen Citrate +paracetamol S.o. 748 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.526041+05:30
6459,Paracetamol + Caffeine + Codeine Phosphate S.o. 749 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.527405+05:30
6460,Aceclofenac Sr + Paracetamol S.o. 750 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.528257+05:30
6461,Diclofenac + Paracetamol S.o. 751 E,,Injection,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.529042+05:30
6462,Azithromycin+cefixime S.o. 752 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.529816+05:30
6463,Amoxicillin +dicloxacillin S.o. 753 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.530531+05:30
6464,Amoxicillin +potassiumclavulanate Diluted 62.5 Mg S.o. 754 E,,,250 mg,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.531589+05:30
6465,Azithromycin + Levofloxacin S.o. 755 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.532312+05:30
6466,Cefixime +linezolid S.o. 756 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.533050+05:30
6467,Amoxicillin +cefixime +potassium Clavulanic Acid S.o. 757 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.533820+05:30
6468,Ofloxacin +nitazoxanide S.o. 758 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.534534+05:30
6469,Cefpodoximeproxetil +levofloxacin S.o. 759 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.535218+05:30
6470,"Combikit Of Azithromycin Dihydrate, Secnidazole And S.o. 760 E",,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.535899+05:30
6471,Levofloxacin +ornidazole +alpha Tocopherol Acetate S.o. 761 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.536680+05:30
6472,Nimorazole+ofloxacin S.o. 762 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.537180+05:30
6473,Azithromycin + Ofloxacin S.o. 763 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.537760+05:30
6474,Amoxycillin + Tinidazole S.o. 764 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.538433+05:30
6475,Doxycycline +serratiopeptidase S.o. 765 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.539108+05:30
6476,Cefixime +levofloxacin S.o. 766 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.539770+05:30
6477,Ofloxacin +metronidazole +zinc Acetate S.o. 767 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.540437+05:30
6478,Diphenoxylate +atropine +furazolidone S.o. 768 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.541100+05:30
6479,"Combikit Of Fluconazole , Azithromycin And S.o. 769 E",,Tablet,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.541731+05:30
6480,Ciprofloxacin +phenazopyridine S.o. 770 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.542308+05:30
6481,Amoxycillin +dicloxacillin +serratiopeptidase S.o. 771 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.542892+05:30
6482,Azithromycin +cefpodoxime S.o. 772 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.543459+05:30
6483,Lignocaine+clotrimazole+ofloxacin+beclomethasone S.o. 773 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.544053+05:30
6484,Cefuroxime + Linezolid S.o. 774 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.544688+05:30
6485,Ofloxacin +ornidazole +zinc Bisglycinate S.o. 775 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.545300+05:30
6486,Metronidazole +norfloxacin S.o. 776 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.545936+05:30
6487,Amoxicillin+bromhexine S.o. 777 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.546544+05:30
6488,Ciprofloxacin +fluticasone +clotrimazole +neomycin S.o. 778 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.547148+05:30
6489,Metronidazole +tetracycline S.o. 779 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.547728+05:30
6490,Cephalexin + Neomycin +prednisolone S.o. 780 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.548290+05:30
6491,Azithromycin + Ambroxol S.o. 781 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.548877+05:30
6492,Cilnidipine + Metroprolol Succinate + Metroprolol Tartrate S.o. 782 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.549448+05:30
6493,L-arginine +sildenafil S.o. 783 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.549965+05:30
6494,Atorvastatin + Vitamin D3 + Folic Acid + Vitamin B12 + S.o. 784 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.550478+05:30
6495,Metformin+atorvastatin S.o. 785 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.551009+05:30
6496,Clindamycin+telmisartan S.o. 786 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.551549+05:30
6497,Olmesartan+hydrochlorothiazide +chlorthalidone S.o. 787 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.552083+05:30
6498,L-5-methylterahydrofolate Calcium + Escitalopram S.o. 788 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.552637+05:30
6499,Pholcodine +promethazine S.o. 789 E,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.553192+05:30
