id,generic_name,brand_names,dosage_form,strength,notification_number,notification_date,ban_reason,source_pdf,date_added
119,Tamsulosin +diclofenac,,,,S.O. 4394(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.342106+05:30
120,Paracetamol + Phenylephirine + Chlorpheniramine + Dextromethorphan + Caffeine,,,,S.O. 4395(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.343074+05:30
121,Diclofenac + Zinc Carnosine,,,,S.O. 4396(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.344068+05:30
122,Diclofenac + Paracetamol + Chlorpheniramine Maleate + Magnesium Trisillicate,,,,S.O. 4397(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.344930+05:30
123,Paracetamol + Pseudoephedrine + Cetirizine,,,,S.O. 4398(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.345962+05:30
124,Phenyl Butazone + Sodium Salicylate,,,,S.O. 4399(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.346951+05:30
125,Lornoxicam + Paracetamol + Trypsin,,,,S.O. 4400(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.347939+05:30
126,Paracetamol + Mefenamic Acid + Ranitidine + Dicyclomine,,,,S.O. 4401(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.348980+05:30
127,Nimesulide + Dicyclomine,,,,S.O. 4402(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.350093+05:30
128,Heparin + Diclofenac,,,,S.O. 4403(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.351126+05:30
129,Glucosamine +methyl Sulfonyl Methane + Vitamin D3 + Manganese + Boron + Copper + Zinc,,,,S.O. 4404(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.352229+05:30
130,Paracetamol + Tapentadol,,,,S.O. 4405(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.353246+05:30
131,Tranexamic Acid + Proanthocyanidin,,,,S.O. 4406(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.354236+05:30
132,Lornoxicam + Paracetamol + Tramadol,,,,S.O. 4407(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.355218+05:30
133,Lornoxicam + Paracetamol + Serratiopeptidase,,,,S.O. 4408(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.356199+05:30
134,Diclofenac + Paracetamol+ Magnesium Trisilicate,,,,S.O. 4409(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.357207+05:30
135,Paracetamol + Domperidone + Caffeine,,,,S.O. 4410(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.358210+05:30
136,Combi Kit Of 3 Tablets Of Serratiopeptidase (enteric Coated 20000 Units) + Diclofenac Potassium & 2 Tablets Of Doxycycline,,,,S.O. 4412(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.359192+05:30
137,Nimesulide + Paracetamol Suspension,,,,S.O. 4413(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.360179+05:30
138,Aceclofenac + Paracetamol + Famotidine,,,,S.O. 4414(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.361218+05:30
139,Aceclofenac + Zinc Carnosine,,,,S.O. 4415(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.362206+05:30
140,Paracetamol + Disodium Hydrogen Citrate +caffeine,,,,S.O. 4416(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.363190+05:30
141,Paracetamol+ D L Methionine,,,,S.O. 4417(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.364181+05:30
142,Disodium Hydrogen Citrate + Paracetamol,,,,S.O. 4418(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.365154+05:30
143,Paracetamol + Caffeine + Codeine Phosphate,,,,S.O. 4419(E),2018-09-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.366141+05:30
